,word_can_search,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_polarity,textblob_subjectivity,textblob_pos_tags
109,try,4,1,1,"[187, 293, 407, 615]",0.0,0.0,"[('try', 'NN')]"
110,building,3,0,0,"[203, 423, 631]",0.0,0.0,"[('building', 'NN')]"
111,castles,3,0,0,"[204, 424, 632]",0.0,0.0,"[('castles', 'NNS')]"
112,sky,3,0,0,"[207, 427, 635]",0.0,0.0,"[('sky', 'NN')]"
113,five,1,1,1,[216],0.0,0.0,"[('five', 'CD')]"
114,years,1,1,1,[217],0.0,0.0,"[('years', 'NNS')]"
115,old,1,1,1,[218],0.1,0.2,"[('old', 'JJ')]"
116,bringin,1,1,1,[219],0.0,0.0,"[('bringin', 'NN')]"
117,comedy,1,1,1,[220],0.0,0.0,"[('comedy', 'NN')]"
118,everytime,1,1,1,[221],0.0,0.0,"[('everytime', 'NN')]"
119,look,1,1,1,[223],0.0,0.0,"[('look', 'NN')]"
120,at,1,1,1,[224],0.0,0.0,"[('at', 'IN')]"
121,little,1,1,1,[230],-0.1875,0.5,"[('little', 'JJ')]"
122,like,2,2,2,"[233, 525]",0.0,0.0,"[('like', 'IN')]"
123,wait,1,1,1,[235],0.0,0.0,"[('wait', 'NN')]"
124,see,3,3,3,"[237, 309, 469]",0.0,0.0,"[('see', 'VB')]"
125,gonna,4,4,4,"[238, 257, 516, 530]",0.0,0.0,"[('gon', 'NN'), ('na', 'TO')]"
126,tall,1,1,1,[240],0.0,0.0,"[('tall', 'NN')]"
127,makes,1,1,1,[241],0.0,0.0,"[('makes', 'VBZ')]"
128,laugh,2,2,2,"[243, 304]",0.3,0.1,"[('laugh', 'NN')]"
129,dads,1,1,1,[248],0.0,0.0,"[('dads', 'NNS')]"
130,ears,1,1,1,[249],0.0,0.0,"[('ears', 'NNS')]"
131,sometimes,1,1,1,[252],0.0,0.0,"[('sometimes', 'RB')]"
132,wonder,1,1,1,[254],0.0,0.0,"[('wonder', 'NN')]"
133,what,1,1,1,[255],0.0,0.0,"[('what', 'WP')]"
134,general,1,1,1,[260],0.05000000000000002,0.5,"[('general', 'JJ')]"
135,maybe,1,1,1,[263],0.0,0.0,"[('maybe', 'RB')]"
136,mc,1,1,1,[265],0.0,0.0,"[('mc', 'NN')]"
137,haha,1,1,1,[266],0.2,0.3,"[('haha', 'NN')]"
138,wanna,1,1,1,[268],0.0,0.0,"[('wan', 'NN'), ('na', 'NN')]"
139,kiss,1,1,1,[269],0.0,0.0,"[('kiss', 'NN')]"
140,but,7,7,7,"[274, 299, 368, 484, 497, 503, 533]",0.0,0.0,"[('but', 'CC')]"
141,will,4,4,4,"[276, 321, 545, 568]",0.0,0.0,"[('will', 'MD')]"
142,test,1,1,1,[277],0.0,0.0,"[('test', 'NN')]"
143,butt,1,1,1,[279],0.0,0.0,"[('butt', 'NN')]"
144,when,2,2,2,"[280, 307]",0.0,0.0,"[('when', 'WRB')]"
145,cut,1,1,1,[282],0.0,0.0,"[('cut', 'NN')]"
146,outta,1,1,1,[283],0.0,0.0,"[('outta', 'NN')]"
147,line,1,1,1,[284],0.0,0.0,"[('line', 'NN')]"
148,true,2,2,2,"[285, 595]",0.35,0.65,"[('true', 'JJ')]"
149,uh-uh-uh,1,1,1,[287],0.0,0.0,"[('uh-uh-uh', 'JJ')]"
150,why,1,1,1,[288],0.0,0.0,"[('why', 'WRB')]"
151,do,4,4,4,"[290, 323, 562, 593]",0.0,0.0,"[('do', 'VB')]"
152,tough,1,1,1,[297],-0.3888888888888889,0.8333333333333334,"[('tough', 'JJ')]"
153,making,1,1,1,[302],0.0,0.0,"[('making', 'VBG')]"
154,crazy,1,1,1,[305],-0.6,0.9,"[('crazy', 'NN')]"
155,joy,1,1,1,[306],0.8,0.2,"[('joy', 'NN')]"
156,eyes,1,1,1,[311],0.0,0.0,"[('eyes', 'NNS')]"
157,baby,1,1,1,[314],0.0,0.0,"[('baby', 'NN')]"
158,boy,1,1,1,[315],0.0,0.0,"[('boy', 'NN')]"
159,always,2,2,2,"[322, 572]",0.0,0.0,"[('always', 'RB')]"
160,everything,1,1,1,[324],0.0,0.0,"[('everything', 'NN')]"
161,show,1,1,1,[327],0.0,0.0,"[('show', 'NN')]"
162,how,2,2,2,"[329, 650]",0.0,0.0,"[('how', 'WRB')]"
163,dignity,1,1,1,[334],0.0,0.0,"[('dignity', 'NN')]"
